Size,Threshold,RandomArray,ReverseSortedArray,AlmostSortedArray
500,40,176,158,147
600,40,189,202,200
700,40,329,370,307
800,40,332,325,315
900,40,311,304,294
1000,40,460,435,583
1100,40,511,488,419
1200,40,460,449,453
1300,40,534,476,519
1400,40,494,424,493
1500,40,563,464,595
1600,40,592,511,616
1700,40,588,462,522
1800,40,557,496,556
1900,40,601,554,587
2000,40,616,562,617
2100,40,581,799,813
2200,40,638,625,610
2300,40,639,597,600
2400,40,765,582,619
2500,40,646,612,658
2600,40,697,598,689
2700,40,713,600,800
2800,40,734,623,715
2900,40,761,629,714
3000,40,740,648,744
3100,40,734,635,721
3200,40,780,646,750
3300,40,797,669,760
3400,40,786,691,761
3500,40,838,711,782
3600,40,772,700,819
3700,40,817,717,809
3800,40,836,728,849
3900,40,815,715,817
4000,40,833,738,849
4100,40,915,777,865
4200,40,870,776,861
4300,40,890,842,876
4400,40,895,810,886
4500,40,901,850,880
4600,40,908,839,942
4700,40,921,859,992
4800,40,948,874,942
4900,40,971,906,1017
5000,40,992,912,995
5100,40,1005,939,1026
5200,40,1073,937,1079
5300,40,1121,937,1121
5400,40,1176,1020,1157
5500,40,1164,976,1164
5600,40,1184,997,1230
5700,40,1212,1014,1204
5800,40,1243,1094,1238
5900,40,1248,1054,1245
6000,40,1306,1071,1272
6100,40,1293,1105,1300
6200,40,1316,1116,1319
6300,40,1333,1145,1332
6400,40,1358,1162,1353
6500,40,1375,1177,1376
6600,40,1409,1205,1398
6700,40,1425,1217,1421
6800,40,1442,1238,1466
6900,40,1463,1301,1468
7000,40,1505,1299,1487
7100,40,1530,1336,1514
7200,40,1542,1323,1535
7300,40,1580,1344,1553
7400,40,1574,1366,1575
7500,40,1625,1387,1615
7600,40,1618,1437,1628
7700,40,1642,1429,1642
7800,40,1662,1453,1696
7900,40,1686,1473,1686
8000,40,1709,1512,1710
8100,40,1759,1518,1800
8200,40,1753,1543,1764
8300,40,1810,1630,1815
8400,40,1814,1591,1829
8500,40,1836,1680,1893
8600,40,1868,1682,1873
8700,40,1899,1787,2002
8800,40,1923,1761,2021
8900,40,1967,1729,2056
9000,40,1981,1734,1943
9100,40,2038,1831,2054
9200,40,2065,1807,2057
9300,40,2079,1838,2110
9400,40,2145,1837,2139
9500,40,2131,1917,2110
9600,40,2119,1948,2101
9700,40,2154,1980,2202
9800,40,2206,2015,2262
9900,40,2236,2014,2249
10000,40,2255,2010,2241
500,50,66,63,65
600,50,88,87,87
700,50,99,101,99
800,50,116,122,112
900,50,165,130,149
1000,50,154,148,173
1100,50,174,164,167
1200,50,191,202,185
1300,50,230,210,203
1400,50,228,242,222
1500,50,243,255,242
1600,50,297,317,258
1700,50,332,275,294
1800,50,315,285,321
1900,50,354,303,327
2000,50,356,331,366
2100,50,363,335,383
2200,50,383,355,386
2300,50,400,375,404
2400,50,436,397,448
2500,50,453,419,443
2600,50,503,451,485
2700,50,494,486,495
2800,50,525,508,515
