Size,RandomArray,ReverseSortedArray,AlmostSortedArray
500,367,308,344
600,427,377,417
700,495,444,493
800,575,510,554
900,610,540,601
1000,781,659,718
1100,765,679,749
1200,800,698,788
1300,871,773,854
1400,937,896,885
1500,937,834,935
1600,1056,988,1063
1700,1047,913,1073
1800,1084,973,1083
1900,1117,985,1161
2000,1187,1139,1171
2100,1245,1106,1277
2200,1259,1139,1248
2300,1309,1181,1338
2400,1373,1316,1616
2500,1380,1276,1368
2600,1418,1316,1398
2700,1469,1278,1433
2800,1620,1393,1489
2900,1576,1405,1585
3000,1649,1426,1606
3100,1747,1503,1644
3200,1712,1517,1731
3300,1763,1570,1782
3400,1801,1594,1815
3500,1902,1644,1857
3600,1937,1705,1952
3700,1963,1762,2014
3800,2031,1787,2033
3900,2089,1840,2103
4000,2188,1889,2142
4100,2200,1934,2181
4200,2274,2051,2244
4300,2324,2080,2351
4400,2360,2094,2357
4500,2436,2166,2425
4600,2508,2252,2483
4700,2552,2286,2534
4800,2597,2357,2603
4900,2680,2381,2671
5000,2757,2430,2724
5100,2773,2464,2764
5200,2852,2520,2856
5300,2897,2559,2960
5400,2940,2632,2954
5500,3012,2700,3073
5600,3061,2736,3048
5700,3130,2767,3118
5800,3161,2897,3193
5900,3236,2864,3223
6000,3346,2909,3332
6100,3328,2953,3376
6200,3511,3044,3412
6300,3500,3068,3619
6400,3545,3205,3588
6500,3663,3206,3652
6600,3678,3376,3669
6700,3861,3298,3861
6800,3753,3542,3772
6900,3975,3411,3951
7000,3951,3506,3943
7100,3967,3638,4034
7200,4143,3535,4154
7300,4165,3723,4114
7400,4152,3809,4187
7500,4292,3806,4295
7600,4355,3862,4339
7700,4382,3822,4398
7800,4412,3934,4412
7900,4493,3912,4456
8000,4500,3947,4459
8100,4523,3974,4503
8200,4582,4023,4552
8300,4595,4092,4595
8400,4691,4264,4739
8500,4835,4278,4744
8600,4853,4321,4842
8700,4925,4347,5013
8800,5222,4462,5002
8900,5055,4439,4999
9000,5124,4473,5082
9100,5152,4581,5186
9200,5226,4611,5172
9300,5393,4715,5267
9400,5314,4719,5325
9500,5365,4747,5419
9600,5459,4813,5433
9700,5476,4888,5511
9800,5528,4968,5521
9900,5572,5004,5579
10000,5719,4990,5616
